S.A.W. Technology,,
,QTY,Price in CAD
Fronius Primo 3.8-1 Full,1,1750
Fronius Primo 5.0-1 Full,5,1860
Fronius Primo 6.0-1 Full,,2030
Fronius Primo 7.6-1 Full,9,2420
Fronius Primo 8.2-1 Full,10,2560
Fronius Primo 10.0-1 Full,,3460
Fronius Primo 11.4-1 Full,,3900
Fronius Primo 12.5-1 Full,,4200
Fronius Primo 15.0-1 Full,2,4720
,,
Fronius Symo 15.0-3 208-240V Lite,2,3840
Fronius Symo 15.0-3 480 Lite,6,3030
Fronius Symo 24.0-3 480 Lite,6,3320
Fronius Symo Advanced 20.0-3 480 Lite,17,3150
Fronius Symo Advanced 24.0-3 480 Lite,,3560
Fronius Datamanager 2.0,8,358
Fronius DUO Rapid shutdown,12,262
Fronius Quattro Rapid shutdown,14,450
Fronius Smartmeter 240V-3,2,300
,,
SolarEdge SE3800H-US SetApp 3.8kW,38,1880
SolarEdge SE5000H-US SetApp 5kW,45,1790
SolarEdge SE6000H-US SetApp 6kW,62,1780
SolarEdge SE7600H-US SetApp 7.6kW,,2270
SolarEdge SE10000H-US SetApp 10kW,5,3250
SolarEdge SE11400H-US SetApp 11.4kW,1,3430
SolarEdge SE14.4K-USR2IBNU4,,4180
SolarEdge Home Hub SE3800H 3.8kW,23,4000
SolarEdge Home Hub SE6000H-US,23,3730
SolarEdge Energy Hub SE7600H-USSNBBL14,22,4120
SolarEdge Energy Hub SE10000H-USSNBBL14,32,4950
SolarEdge Energy Hub SE11400H-USSNBBL14,23,5080
,,
SolarEdge SE20KUS-SetApp 3-ph,11,2040
SolarEdge SE30K-USR8IBNZ4 3-ph,1,3300
,,
SolarEdge S440,555,112
SolarEdge P505,625,108
,,
Enphase IQ8PLUS-72-2-US,650,230
Enphase IQ8M-72-2-US,,258
Enphase IQ8A-72-2-US,,272
Enphase X2-IQ-AM1-240-4 AC combiner,6,900
Enphase IQ load controller EP-NA-LK02-040,35,770
,,
Enphase Q cable portrait,30,19.5
Enphase Q cable landscape (60 cell),765,24
Enphase Q cable landscape (60 and 72 cell),455,42
Enphase Q cable terminator cap,15,21.5
